DIAG_STAT,X_GYRO (16 bit),Y_GYRO (16 bit),Z_GYRO (16 bit),X_ACCL (16 bit),Y_ACCL (16 bit),Z_ACCL (16 bit),TEMP_OUT,TIME_STAMP,BM_CHECKSUM
0,0.1,-0.1,0.15,0.02125,0.07875,-1.19875,38.2,0,382
0,-0.275,0,0.15,-0.0025,0.03,-1.10125,38.2,0,382
0,-0.025,-0.125,0.075,0,0.01375,-1.1875,38.2,0,382
0,-0.05,-0.3,0.025,0.0325,0.02875,-1.125,38.2,0,382
0,-0.175,-0.275,-0.05,0.02,0.005,-1.01625,38.2,0,382
0,0.125,-0.425,-0.025,0.0425,0.01375,-1.08375,38.2,0,382
0,0.1,-0.6,-0.05,0.045,0.05125,-1.01125,38.2,0,382
0,-0.075,-0.6,-0.15,0.04375,0.02,-0.97,38.2,0,382
0,-0.075,-0.575,-0.225,0.07625,0.0025,-0.95625,38.2,0,382
0,-0.125,-0.55,-0.275,0.0525,-0.01,-0.8675,38.2,0,382
0,-0.025,-0.55,-0.2,0.04125,-0.045,-0.88625,38.2,0,382
0,0.075,-0.475,-0.075,0.05875,-0.01875,-0.88375,38.2,0,382
0,-0.1,-0.175,0,0.04125,-0.02875,-0.80375,38.2,0,382
0,0,-0.05,0.025,0.03875,-0.06875,-0.81625,38.2,0,382
0,0.225,-0.05,0.025,0.055,-0.01125,-0.82375,38.2,0,382
0,0.2,0.075,0.025,0.025,-0.05625,-0.8125,38.2,0,382
0,0.275,0.125,0.075,0.0225,-0.055,-0.83375,38.2,0,382
0,0.375,0.3,0.125,0.035,-0.01875,-0.86125,38.2,0,382
0,0.175,0.575,0.175,-0.01,-0.07875,-0.86125,38.2,0,382
0,0.275,0.6,0.175,-0.0075,-0.07125,-0.8925,38.2,0,382
0,0.5,0.625,0.275,-0.02,-0.025,-0.9325,38.2,0,382
0,0.5,0.675,0.325,-0.03875,-0.0175,-0.97375,38.2,0,382
0,0.5,0.55,0.325,-0.035,0.025,-1.03375,38.2,0,382
0,0.125,0.675,0.2,-0.0125,-0.0125,-1.0225,38.2,0,382
0,0.175,0.85,0.15,-0.06375,-0.00125,-1.065,38.2,0,382
0,0.325,0.675,0.025,-0.05375,0.0225,-1.1925,38.2,0,382
0,0.05,0.75,0.1,-0.045,-0.01625,-1.1175,38.2,0,382
0,0.35,0.625,0.175,-0.0675,0.03,-1.14375,38.2,0,382
0,0.4,0.45,0.175,-0.02,0.05875,-1.20875,38.2,0,382
0,0.125,0.425,0.075,-0.065,0.0125,-1.15375,38.2,0,382
0,0.3,0.1,0,-0.035,0.055,-1.24875,38.2,0,382
0,0.125,-0.05,0.05,0.00375,0.03875,-1.165,38.2,0,382
0,0.15,-0.05,0.05,-0.02125,0.02,-1.1225,38.2,0,382
0,0.525,-0.275,0.025,0.0025,0.055,-1.23375,38.2,0,382
0,0.175,-0.2,-0.1,0.00875,0.015,-1.095,38.2,0,382
0,0.1,-0.2,-0.1,0,0.00875,-1.055,38.3,0,383
0,0.325,-0.425,-0.05,0.07,0.02,-1.07125,38.4,0,384
0,0.2,-0.375,-0.075,0.02875,0.00625,-0.9275,38.4,0,384
0,0.65,-0.55,-0.2,0.0475,0.0625,-1.02125,38.4,0,384
0,0.35,-0.65,-0.25,0.08,0.0625,-0.96125,38.4,0,384
0,-0.15,-0.35,-0.375,0.03875,-0.035,-0.8375,38.4,0,384
0,0.175,-0.35,-0.25,0.07875,-0.02625,-0.91,38.4,0,384
0,0.275,-0.275,0.05,0.06625,-0.02625,-0.85125,38.4,0,384
