Acc X;Acc Y;Acc Z;Gyr X;Gyr Y;Gyr Z;Mag X;Mag Y;Mag Z;q0;q1;q2;q3;Roll;Pitch;Yaw;
-0.14;-0.24;9.01;-0.02;0.01;-0.00;-0.10;1.05;-1.27;0.82;-0.01;0.01;0.57;-0.41;1.89;69.03;
-0.55;-0.07;10.66;0.02;-0.01;-0.00;-0.05;1.01;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;69.03;
-0.12;-0.01;9.29;-0.01;0.00;0.00;-0.10;1.06;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.24;-0.25;9.52;-0.02;0.01;0.00;-0.04;1.00;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.54;-0.00;10.44;0.02;-0.01;-0.00;-0.11;1.05;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.13;0.03;9.31;-0.02;0.01;-0.00;-0.04;1.01;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.39;-0.27;9.92;-0.01;0.00;-0.00;-0.10;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.43;0.07;10.14;0.02;-0.01;-0.00;-0.05;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.11;-0.06;9.46;-0.02;0.01;-0.00;-0.09;1.04;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.49;-0.22;9.99;0.00;-0.01;0.00;-0.07;1.02;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.34;0.06;9.81;0.01;-0.00;0.00;-0.10;1.03;-1.13;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.27;-0.17;9.49;-0.01;0.01;0.00;-0.09;1.04;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.53;-0.19;9.99;0.01;-0.01;-0.00;-0.10;1.05;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.21;-0.01;9.67;0.01;-0.01;-0.00;-0.10;1.04;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.18;-0.26;9.39;-0.01;0.01;0.00;-0.08;1.05;-1.16;0.82;-0.01;0.01;0.57;-0.41;1.88;69.02;
-0.51;-0.06;10.10;0.01;-0.00;0.00;-0.11;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.30;0.00;9.80;0.00;0.00;-0.00;-0.08;1.04;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;69.02;
-0.29;-0.25;9.40;-0.01;0.01;-0.00;-0.12;1.07;-1.23;0.82;-0.01;0.01;0.57;-0.41;1.88;69.01;
-0.52;0.02;10.23;0.01;-0.00;-0.00;-0.08;1.04;-1.20;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.17;0.03;9.81;0.00;-0.00;-0.00;-0.13;1.10;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.26;-0.19;9.57;-0.01;0.01;0.00;-0.06;1.05;-1.18;0.82;-0.01;0.01;0.57;-0.41;1.88;69.01;
-0.57;0.00;10.28;0.02;-0.01;0.00;-0.13;1.07;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.19;-0.07;9.45;-0.01;0.00;0.00;-0.06;1.04;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.40;-0.27;9.65;-0.00;0.01;0.00;-0.13;1.08;-1.30;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.37;0.04;10.24;0.01;-0.01;0.00;-0.06;1.04;-1.26;0.82;-0.01;0.01;0.57;-0.39;1.87;69.01;
-0.12;-0.11;9.31;-0.01;0.01;0.00;-0.12;1.07;-1.34;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.38;-0.24;9.80;-0.00;0.00;0.00;-0.05;1.03;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.35;0.08;10.07;0.01;-0.01;0.00;-0.11;1.05;-1.25;0.82;-0.01;0.01;0.57;-0.39;1.87;69.02;
-0.19;-0.25;9.21;-0.01;0.01;0.00;-0.05;1.02;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;69.02;
-0.38;-0.15;9.92;0.01;-0.00;-0.00;-0.10;1.04;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.24;0.09;10.01;0.00;-0.00;-0.00;-0.07;1.02;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.22;-0.27;9.21;-0.01;0.00;-0.00;-0.07;1.03;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.45;-0.01;10.16;-0.00;0.00;-0.00;-0.08;1.03;-1.28;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.36;-0.01;10.07;0.00;-0.00;-0.00;-0.07;1.02;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.28;-0.18;9.15;-0.01;0.01;-0.00;-0.09;1.03;-1.20;0.82;-0.01;0.01;0.57;-0.41;1.88;69.00;
-0.51;0.06;10.58;0.01;-0.00;-0.00;-0.06;1.00;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.32;-0.03;9.77;0.01;-0.00;-0.00;-0.11;1.04;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.30;-0.20;9.14;-0.01;0.01;0.00;-0.03;1.00;-1.13;0.82;-0.01;0.01;0.57;-0.41;1.88;69.00;
-0.53;0.04;10.83;0.01;-0.01;0.00;-0.11;1.05;-1.17;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.25;-0.15;9.05;0.01;-0.01;0.00;-0.05;1.00;-1.15;0.82;-0.01;0.01;0.57;-0.39;1.87;69.00;
-0.28;-0.23;9.48;-0.02;0.01;0.00;-0.12;1.06;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.56;-0.05;10.54;0.02;-0.01;0.00;-0.06;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.39;1.87;69.01;
-0.16;-0.15;8.79;-0.02;0.01;0.00;-0.13;1.07;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;69.01;
-0.35;-0.26;10.03;-0.01;0.01;-0.00;-0.07;1.04;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.36;0.03;10.05;0.02;-0.01;-0.00;-0.13;1.07;-1.17;0.82;-0.01;0.01;0.57;-0.39;1.87;69.00;
-0.08;-0.10;9.04;-0.02;0.01;0.00;-0.10;1.05;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.88;69.01;
-0.42;-0.19;10.46;0.00;0.00;0.00;-0.11;1.06;-1.14;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.36;0.18;9.78;0.01;-0.00;0.00;-0.12;1.07;-1.18;0.82;-0.01;0.01;0.57;-0.40;1.88;69.01;
-0.16;-0.19;9.48;-0.02;0.02;-0.00;-0.11;1.06;-1.17;0.82;-0.01;0.01;0.57;-0.41;1.89;69.00;
-0.50;-0.07;10.41;0.02;-0.01;-0.00;-0.13;1.09;-1.21;0.82;-0.01;0.01;0.57;-0.40;1.88;69.00;
-0.16;0.13;9.64;-0.00;0.00;0.00;-0.10;1.05;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;69.00;
-0.16;-0.34;9.51;-0.01;0.00;0.00;-0.14;1.08;-1.24;0.82;-0.01;0.01;0.57;-0.41;1.88;69.00;
-0.53;-0.00;10.22;0.02;-0.01;0.00;-0.09;1.06;-1.24;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.19;-0.03;9.56;-0.00;0.00;0.00;-0.15;1.09;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.34;-0.31;9.42;-0.00;0.00;-0.00;-0.07;1.05;-1.22;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.46;0.00;10.10;0.01;-0.01;-0.00;-0.15;1.07;-1.25;0.82;-0.01;0.01;0.57;-0.39;1.87;69.00;
-0.09;-0.13;9.43;-0.01;0.01;-0.00;-0.08;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;69.00;
-0.41;-0.25;9.50;-0.01;0.01;-0.00;-0.14;1.08;-1.29;0.82;-0.01;0.01;0.57;-0.40;1.88;69.00;
-0.50;-0.05;10.17;0.01;-0.01;-0.00;-0.08;1.03;-1.23;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.21;-0.09;9.32;-0.01;0.01;-0.00;-0.14;1.08;-1.26;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.48;-0.11;10.02;-0.01;0.00;-0.00;-0.07;1.03;-1.26;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.36;0.04;10.25;0.02;-0.00;-0.00;-0.13;1.08;-1.25;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
-0.15;-0.05;9.27;-0.02;0.01;0.00;-0.08;1.03;-1.25;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.56;-0.08;10.45;0.01;-0.00;0.00;-0.10;1.05;-1.25;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.39;0.08;9.78;0.02;-0.01;0.00;-0.09;1.04;-1.27;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.23;-0.15;9.35;-0.02;0.01;0.00;-0.09;1.03;-1.22;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.54;-0.14;10.27;0.02;-0.01;-0.00;-0.09;1.04;-1.26;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.18;-0.06;9.35;-0.00;0.01;0.00;-0.05;1.01;-1.16;0.82;-0.01;0.01;0.57;-0.40;1.87;68.99;
-0.20;-0.30;9.53;-0.01;0.01;0.00;-0.11;1.05;-1.23;0.82;-0.01;0.01;0.57;-0.41;1.88;68.99;
-0.43;-0.11;10.06;0.02;-0.01;0.00;-0.04;1.02;-1.19;0.82;-0.01;0.01;0.57;-0.40;1.88;68.99;
